attack,churn,seed,round,acc,f1
grad-p,0.3,43,16,89.6,32.47
grad-p,0.3,43,17,89.7,33.55
grad-p,0.3,43,18,90.25,39.25
grad-p,0.3,43,19,89.9,35.67
grad-p,0.3,43,20,90.4,40.74
grad-p,0.3,43,21,87.9,11.03
grad-p,0.3,43,22,87.3,2.31
grad-p,0.3,43,23,87.4,3.82
grad-p,0.3,43,24,87.55,6.04
grad-p,0.3,43,25,87.95,11.72
grad-p,0.3,43,26,88.15,14.44
grad-p,0.3,43,27,88.2,15.11
grad-p,0.3,43,28,88.35,17.08
grad-p,0.3,43,29,88.55,19.65
grad-p,0.3,43,30,88.65,20.91
grad-p,0.3,43,31,89.2,27.52
grad-p,0.3,43,32,89.6,32.03
grad-p,0.3,43,33,88.15,14.44
grad-p,0.3,43,34,88.3,16.43
grad-p,0.3,43,35,88.5,19.01
grad-p,0.3,43,36,88.35,17.08
grad-p,0.3,43,37,87.8,9.63
grad-p,0.3,43,38,88.45,18.37
grad-p,0.3,43,39,88.55,19.65
grad-p,0.3,43,40,88.25,15.77
grad-p,0.3,43,41,88.35,17.08
grad-p,0.3,43,42,88.6,20.28
grad-p,0.3,43,43,88.75,22.15
grad-p,0.3,43,44,89.1,26.35
grad-p,0.3,43,45,89.3,28.67
grad-p,0.3,43,46,89.05,25.76
grad-p,0.3,43,47,88.25,15.77
grad-p,0.3,43,48,88.45,18.37
grad-p,0.3,43,49,88.55,19.65
grad-p,0.3,44,0,79.8,45.11
grad-p,0.3,44,1,70.85,31.81
grad-p,0.3,44,2,79.9,14.47
grad-p,0.3,44,3,71.6,21.55
grad-p,0.3,44,4,51.25,20.41
grad-p,0.3,44,5,59.9,28.14
grad-p,0.3,44,6,69.55,32.26
grad-p,0.3,44,7,76.2,25.39
grad-p,0.3,44,8,85.8,13.94
grad-p,0.3,44,9,86.15,14.24
grad-p,0.3,44,10,87.5,11.97
grad-p,0.3,44,11,87.6,8.15
grad-p,0.3,44,12,87.35,3.8
grad-p,0.3,44,13,87.35,3.07
grad-p,0.3,44,14,87.25,1.54
grad-p,0.3,44,15,87.75,8.92
grad-p,0.3,44,16,87.85,10.33
grad-p,0.3,44,17,88.1,13.77
grad-p,0.3,44,18,88.4,17.73
grad-p,0.3,44,19,90.85,44.71
grad-p,0.3,44,20,89.9,35.26
grad-p,0.3,44,21,90.15,40.48
grad-p,0.3,44,22,90.25,41.44
grad-p,0.3,44,23,90.55,43.58
grad-p,0.3,44,24,87.2,0.78
grad-p,0.3,44,25,87.45,4.56
grad-p,0.3,44,26,87.7,8.21
grad-p,0.3,44,27,88.95,24.57
grad-p,0.3,44,28,89.0,25.17
grad-p,0.3,44,29,90.3,39.38
grad-p,0.3,44,30,90.25,38.87
grad-p,0.3,44,31,90.15,37.85
grad-p,0.3,44,32,89.95,35.78
grad-p,0.3,44,33,89.45,30.36
grad-p,0.3,44,34,89.4,29.8
grad-p,0.3,44,35,90.55,41.85
grad-p,0.3,44,36,90.3,39.38
grad-p,0.3,44,37,91.1,47.95
grad-p,0.3,44,38,91.2,48.54
grad-p,0.3,44,39,90.0,36.31
grad-p,0.3,44,40,90.3,39.38
grad-p,0.3,44,41,90.6,42.33
grad-p,0.3,44,42,90.95,45.65
grad-p,0.3,44,43,91.1,47.02
grad-p,0.3,44,44,90.95,45.65
grad-p,0.3,44,45,91.2,47.93
grad-p,0.3,44,46,91.35,49.27
grad-p,0.3,44,47,91.55,51.01
grad-p,0.3,44,48,91.55,51.01
grad-p,0.3,44,49,91.7,52.3
spf,0.0,42,0,35.5,27.04
spf,0.0,42,1,49.0,31.17
spf,0.0,42,2,67.45,40.44
spf,0.0,42,3,85.1,56.3
spf,0.0,42,4,88.6,60.96
spf,0.0,42,5,90.1,63.47
spf,0.0,42,6,91.7,65.84
spf,0.0,42,7,92.1,64.09
spf,0.0,42,8,92.4,63.64
spf,0.0,42,9,92.65,63.88
spf,0.0,42,10,91.8,55.91
spf,0.0,42,11,91.4,50.57
spf,0.0,42,12,91.35,50.14
spf,0.0,42,13,90.5,42.07
spf,0.0,42,14,90.3,40.12
spf,0.0,42,15,90.35,40.62
spf,0.0,42,16,90.35,40.25
spf,0.0,42,17,90.45,41.23
spf,0.0,42,18,91.3,49.12
spf,0.0,42,19,91.65,52.42
spf,0.0,42,20,91.8,53.67
spf,0.0,42,21,91.75,52.99
spf,0.0,42,22,91.85,54.08
spf,0.0,42,23,91.85,53.82
spf,0.0,42,24,91.95,54.65
spf,0.0,42,25,92.05,55.71
spf,0.0,42,26,92.35,58.08
spf,0.0,42,27,92.4,58.47
spf,0.0,42,28,92.85,61.87
spf,0.0,42,29,93.05,63.32
spf,0.0,42,30,93.1,63.68
spf,0.0,42,31,93.25,64.75
spf,0.0,42,32,93.45,66.15
spf,0.0,42,33,93.65,67.52
spf,0.0,42,34,93.8,68.53
spf,0.0,42,35,93.8,68.53
spf,0.0,42,36,94.15,70.82
spf,0.0,42,37,94.3,71.78
spf,0.0,42,38,94.3,71.78
spf,0.0,42,39,94.4,72.41
spf,0.0,42,40,94.45,72.86
spf,0.0,42,41,94.4,72.55
spf,0.0,42,42,94.45,72.86
spf,0.0,42,43,94.6,73.79
spf,0.0,42,44,94.45,72.86
spf,0.0,42,45,94.6,73.79
spf,0.0,42,46,94.7,74.4
spf,0.0,42,47,94.7,74.4
spf,0.0,42,48,94.85,75.3
spf,0.0,42,49,94.9,75.6
spf,0.0,43,0,84.2,52.12
spf,0.0,43,1,87.1,57.84
spf,0.0,43,2,89.05,59.52
spf,0.0,43,3,90.1,60.24
spf,0.0,43,4,90.65,61.28
spf,0.0,43,5,91.7,63.27
spf,0.0,43,6,92.2,61.76
spf,0.0,43,7,92.35,61.07
spf,0.0,43,8,92.5,61.73
spf,0.0,43,9,92.2,58.29
spf,0.0,43,10,92.3,58.6
spf,0.0,43,11,91.95,55.15
spf,0.0,43,12,91.85,54.34
spf,0.0,43,13,91.8,53.67
spf,0.0,43,14,91.75,53.26
spf,0.0,43,15,91.85,54.08
spf,0.0,43,16,91.5,51.15
spf,0.0,43,17,91.4,50.29
spf,0.0,43,18,91.45,50.72
spf,0.0,43,19,91.45,50.43
