attack,alpha,round,acc,f1
spf,0.2,41,96.45,0.0
spf,0.2,42,96.45,0.0
spf,0.2,43,96.45,0.0
spf,0.2,44,96.45,0.0
spf,0.2,45,96.45,0.0
spf,0.2,46,96.45,0.0
spf,0.2,47,96.45,0.0
spf,0.2,48,96.45,0.0
spf,0.2,49,96.45,0.0
spf,0.5,0,68.05,8.32
spf,0.5,1,79.25,10.37
spf,0.5,2,84.75,13.11
spf,0.5,3,88.05,14.34
spf,0.5,4,91.55,11.52
spf,0.5,5,94.6,0.0
spf,0.5,6,95.75,0.0
spf,0.5,7,96.25,0.0
spf,0.5,8,96.45,0.0
spf,0.5,9,96.45,0.0
spf,0.5,10,96.45,0.0
spf,0.5,11,96.45,0.0
spf,0.5,12,96.45,0.0
spf,0.5,13,96.45,0.0
spf,0.5,14,96.45,0.0
spf,0.5,15,96.45,0.0
spf,0.5,16,96.45,0.0
spf,0.5,17,96.45,0.0
spf,0.5,18,96.45,0.0
spf,0.5,19,96.45,0.0
spf,0.5,20,96.45,0.0
spf,0.5,21,96.45,0.0
spf,0.5,22,96.45,0.0
spf,0.5,23,96.45,0.0
spf,0.5,24,96.45,0.0
spf,0.5,25,96.45,0.0
spf,0.5,26,96.45,0.0
spf,0.5,27,96.45,0.0
spf,0.5,28,96.45,0.0
spf,0.5,29,96.45,0.0
spf,0.5,30,96.45,0.0
spf,0.5,31,96.45,0.0
spf,0.5,32,96.45,0.0
spf,0.5,33,96.45,0.0
spf,0.5,34,96.45,0.0
spf,0.5,35,96.45,0.0
spf,0.5,36,96.45,0.0
spf,0.5,37,96.45,0.0
spf,0.5,38,96.45,0.0
spf,0.5,39,96.45,0.0
spf,0.5,40,96.45,0.0
spf,0.5,41,96.45,0.0
spf,0.5,42,96.45,0.0
spf,0.5,43,96.45,0.0
spf,0.5,44,96.45,0.0
spf,0.5,45,96.45,0.0
spf,0.5,46,96.45,0.0
spf,0.5,47,96.45,0.0
spf,0.5,48,96.45,0.0
spf,0.5,49,96.45,0.0
spf,1.0,0,70.1,8.84
spf,1.0,1,81.0,10.8
