method,seed,round,acc,f1
Bulyan,43,13,94.1,50.42
Bulyan,43,14,94.45,55.06
Bulyan,43,15,94.35,53.5
Bulyan,43,16,94.75,58.5
Bulyan,43,17,94.8,59.69
Bulyan,43,18,95.35,65.93
Bulyan,43,19,95.25,64.42
Bulyan,43,20,95.25,65.45
Bulyan,43,21,95.6,69.01
Bulyan,43,22,95.55,68.33
Bulyan,43,23,95.6,68.79
Bulyan,43,24,95.75,70.18
Bulyan,43,25,95.75,70.18
Bulyan,43,26,95.9,71.92
Bulyan,43,27,95.9,72.3
Bulyan,43,28,95.95,73.44
Bulyan,43,29,95.95,73.44
Bulyan,43,30,96.0,73.68
Bulyan,43,31,96.0,74.36
Bulyan,43,32,96.1,75.16
Bulyan,43,33,96.15,75.71
Bulyan,43,34,96.1,75.62
Bulyan,43,35,96.05,75.99
Bulyan,43,36,96.05,76.28
Bulyan,43,37,95.95,76.25
Bulyan,43,38,95.8,75.72
Bulyan,43,39,95.65,75.77
Bulyan,43,40,95.7,76.11
Bulyan,43,41,95.75,76.84
Bulyan,43,42,95.7,76.63
Bulyan,43,43,95.7,76.88
Bulyan,43,44,95.5,76.32
Bulyan,43,45,95.45,76.12
Bulyan,43,46,95.5,76.44
Bulyan,43,47,95.5,76.56
Bulyan,43,48,95.55,76.88
Bulyan,43,49,95.55,77.24
Bulyan,44,0,13.95,16.5
Bulyan,44,1,30.65,18.84
Bulyan,44,2,45.95,21.38
Bulyan,44,3,64.15,27.36
Bulyan,44,4,73.4,30.73
Bulyan,44,5,76.5,32.86
Bulyan,44,6,83.35,36.08
Bulyan,44,7,86.85,35.38
Bulyan,44,8,89.45,27.49
Bulyan,44,9,91.05,24.47
Bulyan,44,10,91.9,12.9
Bulyan,44,11,92.0,13.04
Bulyan,44,12,91.85,7.91
Bulyan,44,13,91.7,4.6
Bulyan,44,14,91.65,3.47
Bulyan,44,15,91.75,5.71
Bulyan,44,16,91.65,3.47
Bulyan,44,17,91.75,5.71
Bulyan,44,18,92.0,11.11
Bulyan,44,19,92.05,12.15
Bulyan,44,20,92.0,11.11
Bulyan,44,21,91.8,6.82
Bulyan,44,22,91.75,5.71
Bulyan,44,23,91.9,8.99
Bulyan,44,24,91.8,6.82
Bulyan,44,25,91.8,6.82
Bulyan,44,26,91.7,4.6
Bulyan,44,27,91.9,8.99
Bulyan,44,28,91.95,10.06
Bulyan,44,29,92.15,14.21
Bulyan,44,30,92.1,13.19
Bulyan,44,31,92.15,14.21
Bulyan,44,32,92.05,12.15
Bulyan,44,33,92.05,12.15
Bulyan,44,34,92.0,11.11
Bulyan,44,35,92.0,11.11
Bulyan,44,36,92.1,13.19
Bulyan,44,37,92.15,14.21
Bulyan,44,38,92.25,16.22
Bulyan,44,39,92.6,22.92
Bulyan,44,40,93.6,39.62
Bulyan,44,41,93.2,33.33
Bulyan,44,42,93.7,41.12
Bulyan,44,43,93.8,43.12
Bulyan,44,44,94.15,48.0
Bulyan,44,45,94.45,52.36
Bulyan,44,46,94.75,57.49
Bulyan,44,47,95.05,61.78
Bulyan,44,48,95.2,63.36
Bulyan,44,49,94.95,60.08
RFVIR,42,0,42.45,20.01
RFVIR,42,1,55.65,24.89
RFVIR,42,2,80.25,38.18
RFVIR,42,3,89.05,47.48
RFVIR,42,4,92.85,51.19
RFVIR,42,5,93.4,46.77
RFVIR,42,6,93.45,41.26
RFVIR,42,7,93.35,38.14
RFVIR,42,8,93.15,33.82
RFVIR,42,9,93.2,34.62
RFVIR,42,10,92.65,24.62
RFVIR,42,11,92.8,26.53
RFVIR,42,12,92.75,25.64
RFVIR,42,13,92.75,25.64
RFVIR,42,14,92.9,28.28
RFVIR,42,15,92.9,28.28
RFVIR,42,16,92.95,29.15
RFVIR,42,17,92.95,29.15
RFVIR,42,18,92.95,29.15
RFVIR,42,19,93.05,30.85
RFVIR,42,20,92.9,28.28
RFVIR,42,21,93.2,33.33
RFVIR,42,22,93.35,35.75
RFVIR,42,23,93.4,36.54
RFVIR,42,24,93.5,38.1
RFVIR,42,25,93.45,37.32
RFVIR,42,26,93.65,40.38
RFVIR,42,27,93.65,40.38
RFVIR,42,28,93.7,41.12
RFVIR,42,29,93.95,44.75
RFVIR,42,30,94.2,48.21
RFVIR,42,31,94.2,48.21
RFVIR,42,32,94.25,48.89
RFVIR,42,33,94.55,52.81
RFVIR,42,34,94.65,54.08
