attack,alpha,round,acc,f1
spf,1.0,27,98.4,38.46
spf,1.0,28,98.5,44.44
spf,1.0,29,98.5,44.44
spf,1.0,30,98.5,44.44
spf,1.0,31,98.55,47.27
spf,1.0,32,98.55,47.27
spf,1.0,33,98.6,50.0
spf,1.0,34,98.6,51.72
spf,1.0,35,98.6,51.72
spf,1.0,36,98.6,51.72
spf,1.0,37,98.6,51.72
spf,1.0,38,98.65,54.24
spf,1.0,39,98.65,54.24
spf,1.0,40,98.65,54.24
spf,1.0,41,98.65,54.24
spf,1.0,42,98.65,54.24
spf,1.0,43,98.7,56.67
spf,1.0,44,98.7,56.67
spf,1.0,45,98.7,56.67
spf,1.0,46,98.65,57.14
spf,1.0,47,98.75,61.54
spf,1.0,48,98.75,62.69
spf,1.0,49,98.75,62.69
lfp,0.01,0,35.3,5.55
lfp,0.01,1,68.45,6.79
lfp,0.01,2,79.85,8.62
lfp,0.01,3,72.9,9.06
lfp,0.01,4,95.65,15.53
lfp,0.01,5,97.9,0.0
lfp,0.01,6,97.9,0.0
lfp,0.01,7,97.9,0.0
lfp,0.01,8,97.9,0.0
lfp,0.01,9,97.9,0.0
lfp,0.01,10,97.9,0.0
lfp,0.01,11,97.9,0.0
lfp,0.01,12,97.9,0.0
lfp,0.01,13,97.9,0.0
lfp,0.01,14,97.9,0.0
lfp,0.01,15,97.9,0.0
lfp,0.01,16,97.9,0.0
lfp,0.01,17,97.9,0.0
lfp,0.01,18,97.9,0.0
lfp,0.01,19,97.9,0.0
lfp,0.01,20,97.9,0.0
lfp,0.01,21,97.9,0.0
lfp,0.01,22,97.9,0.0
lfp,0.01,23,97.9,0.0
lfp,0.01,24,97.9,0.0
lfp,0.01,25,97.9,0.0
lfp,0.01,26,97.9,0.0
lfp,0.01,27,97.9,0.0
lfp,0.01,28,97.9,0.0
lfp,0.01,29,97.9,0.0
lfp,0.01,30,97.9,0.0
lfp,0.01,31,97.9,0.0
lfp,0.01,32,97.9,0.0
lfp,0.01,33,97.9,0.0
lfp,0.01,34,97.9,0.0
lfp,0.01,35,97.9,0.0
lfp,0.01,36,97.9,0.0
lfp,0.01,37,97.9,0.0
lfp,0.01,38,97.9,0.0
lfp,0.01,39,97.9,0.0
lfp,0.01,40,97.9,0.0
lfp,0.01,41,97.9,0.0
lfp,0.01,42,97.9,0.0
lfp,0.01,43,97.9,0.0
lfp,0.01,44,97.9,0.0
lfp,0.01,45,97.9,0.0
lfp,0.01,46,97.9,0.0
lfp,0.01,47,97.9,0.0
lfp,0.01,48,97.9,0.0
lfp,0.05,0,36.1,5.61
lfp,0.05,1,50.25,6.4
lfp,0.05,2,72.25,9.17
lfp,0.05,3,78.25,10.68
lfp,0.05,4,90.1,15.38
lfp,0.05,5,97.9,30.0
lfp,0.05,6,98.1,17.39
lfp,0.05,7,97.95,4.65
lfp,0.05,8,98.0,9.09
lfp,0.05,9,97.9,0.0
lfp,0.05,10,97.9,0.0
lfp,0.05,11,97.9,0.0
